Country/Region,Province/State,Date,RecordsNo,Records,Lat,Long
Afghanistan,,1/22/20,0,Recovered,33,65
Albania,,1/22/20,0,Recovered,41.1533,20.1683
Algeria,,1/22/20,0,Recovered,28.0339,1.6596
Andorra,,1/22/20,0,Recovered,42.5063,1.5218
Angola,,1/22/20,0,Recovered,-11.2027,17.8739
Antigua and Barbuda,,1/22/20,0,Recovered,17.0608,-61.7964
Argentina,,1/22/20,0,Recovered,-38.4161,-63.6167
Armenia,,1/22/20,0,Recovered,40.0691,45.0382
Australia,Australian Capital Territory,1/22/20,0,Recovered,-35.4735,149.0124
Australia,New South Wales,1/22/20,0,Recovered,-33.8688,151.2093
Australia,Northern Territory,1/22/20,0,Recovered,-12.4634,130.8456
Australia,Queensland,1/22/20,0,Recovered,-28.0167,153.4
Australia,South Australia,1/22/20,0,Recovered,-34.9285,138.6007
Australia,Tasmania,1/22/20,0,Recovered,-41.4545,145.9707
Australia,Victoria,1/22/20,0,Recovered,-37.8136,144.9631
Australia,Western Australia,1/22/20,0,Recovered,-31.9505,115.8605
Austria,,1/22/20,0,Recovered,47.5162,14.5501
Azerbaijan,,1/22/20,0,Recovered,40.1431,47.5769
Bahamas,,1/22/20,0,Recovered,25.0343,-77.3963
Bahrain,,1/22/20,0,Recovered,26.0275,50.55
Bangladesh,,1/22/20,0,Recovered,23.685,90.3563
Barbados,,1/22/20,0,Recovered,13.1939,-59.5432
Belarus,,1/22/20,0,Recovered,53.7098,27.9534
Belgium,,1/22/20,0,Recovered,50.8333,4
Belize,,1/22/20,0,Recovered,13.1939,-59.5432
Benin,,1/22/20,0,Recovered,9.3077,2.3158
Bhutan,,1/22/20,0,Recovered,27.5142,90.4336
Bolivia,,1/22/20,0,Recovered,-16.2902,-63.5887
Bosnia and Herzegovina,,1/22/20,0,Recovered,43.9159,17.6791
Brazil,,1/22/20,0,Recovered,-14.235,-51.9253
Brunei,,1/22/20,0,Recovered,4.5353,114.7277
Bulgaria,,1/22/20,0,Recovered,42.7339,25.4858
Burkina Faso,,1/22/20,0,Recovered,12.2383,-1.5616
Cabo Verde,,1/22/20,0,Recovered,16.5388,-23.0418
Cambodia,,1/22/20,0,Recovered,11.55,104.9167
Cameroon,,1/22/20,0,Recovered,3.848,11.5021
Canada,,1/22/20,0,Recovered,56.1304,-106.3468
Central African Republic,,1/22/20,0,Recovered,6.6111,20.9394
Chad,,1/22/20,0,Recovered,15.4542,18.7322
Chile,,1/22/20,0,Recovered,-35.6751,-71.543
China,Anhui,1/22/20,0,Recovered,31.8257,117.2264
China,Beijing,1/22/20,0,Recovered,40.1824,116.4142
China,Chongqing,1/22/20,0,Recovered,30.0572,107.874
China,Fujian,1/22/20,0,Recovered,26.0789,117.9874
China,Gansu,1/22/20,0,Recovered,37.8099,101.0583
China,Guangdong,1/22/20,0,Recovered,23.3417,113.4244
China,Guangxi,1/22/20,0,Recovered,23.8298,108.7881
China,Guizhou,1/22/20,0,Recovered,26.8154,106.8748
China,Hainan,1/22/20,0,Recovered,19.1959,109.7453
China,Hebei,1/22/20,0,Recovered,39.549,116.1306
China,Heilongjiang,1/22/20,0,Recovered,47.862,127.7615
China,Henan,1/22/20,0,Recovered,33.882,113.614
China,Hong Kong,1/22/20,0,Recovered,22.3,114.2
China,Hubei,1/22/20,28,Recovered,30.9756,112.2707
China,Hunan,1/22/20,0,Recovered,27.6104,111.7088
China,Inner Mongolia,1/22/20,0,Recovered,44.0935,113.9448
China,Jiangsu,1/22/20,0,Recovered,32.9711,119.455
China,Jiangxi,1/22/20,0,Recovered,27.614,115.7221
China,Jilin,1/22/20,0,Recovered,43.6661,126.1923
China,Liaoning,1/22/20,0,Recovered,41.2956,122.6085
China,Macau,1/22/20,0,Recovered,22.1667,113.55
China,Ningxia,1/22/20,0,Recovered,37.2692,106.1655
China,Qinghai,1/22/20,0,Recovered,35.7452,95.9956
China,Shaanxi,1/22/20,0,Recovered,35.1917,108.8701
China,Shandong,1/22/20,0,Recovered,36.3427,118.1498
China,Shanghai,1/22/20,0,Recovered,31.202,121.4491
China,Shanxi,1/22/20,0,Recovered,37.5777,112.2922
China,Sichuan,1/22/20,0,Recovered,30.6171,102.7103
China,Tianjin,1/22/20,0,Recovered,39.3054,117.323
China,Tibet,1/22/20,0,Recovered,31.6927,88.0924
China,Xinjiang,1/22/20,0,Recovered,41.1129,85.2401
China,Yunnan,1/22/20,0,Recovered,24.974,101.487
China,Zhejiang,1/22/20,0,Recovered,29.1832,120.0934
Colombia,,1/22/20,0,Recovered,4.5709,-74.2973
Congo (Brazzaville),,1/22/20,0,Recovered,-4.0383,21.7587
Congo (Kinshasa),,1/22/20,0,Recovered,-4.0383,21.7587
Costa Rica,,1/22/20,0,Recovered,9.7489,-83.7534
Cote d'Ivoire,,1/22/20,0,Recovered,7.54,-5.5471
Croatia,,1/22/20,0,Recovered,45.1,15.2
Diamond Princess,,1/22/20,0,Recovered,0,0
Cuba,,1/22/20,0,Recovered,22,-80
Cyprus,,1/22/20,0,Recovered,35.1264,33.4299
Czechia,,1/22/20,0,Recovered,49.8175,15.473
Denmark,Faroe Islands,1/22/20,0,Recovered,61.8926,-6.9118
Denmark,Greenland,1/22/20,0,Recovered,71.7069,-42.6043
Denmark,,1/22/20,0,Recovered,56.2639,9.5018
Djibouti,,1/22/20,0,Recovered,11.8251,42.5903
Dominica,,1/22/20,0,Recovered,15.415,-61.371
Dominican Republic,,1/22/20,0,Recovered,18.7357,-70.1627
Ecuador,,1/22/20,0,Recovered,-1.8312,-78.1834
Egypt,,1/22/20,0,Recovered,26,30
El Salvador,,1/22/20,0,Recovered,13.7942,-88.8965
Equatorial Guinea,,1/22/20,0,Recovered,1.5,10
Eritrea,,1/22/20,0,Recovered,15.1794,39.7823
Estonia,,1/22/20,0,Recovered,58.5953,25.0136
Eswatini,,1/22/20,0,Recovered,-26.5225,31.4659
Ethiopia,,1/22/20,0,Recovered,9.145,40.4897
Fiji,,1/22/20,0,Recovered,-17.7134,178.065
Finland,,1/22/20,0,Recovered,64,26
France,French Guiana,1/22/20,0,Recovered,3.9339,-53.1258
France,French Polynesia,1/22/20,0,Recovered,-17.6797,149.4068
France,Guadeloupe,1/22/20,0,Recovered,16.25,-61.5833
France,Martinique,1/22/20,0,Recovered,14.6415,-61.0242
France,Mayotte,1/22/20,0,Recovered,-12.8275,45.1662
France,New Caledonia,1/22/20,0,Recovered,-20.9043,165.618
France,Reunion,1/22/20,0,Recovered,-21.1351,55.2471
France,Saint Barthelemy,1/22/20,0,Recovered,17.9,-62.8333
France,St Martin,1/22/20,0,Recovered,18.0708,-63.0501
France,,1/22/20,0,Recovered,46.2276,2.2137
Gabon,,1/22/20,0,Recovered,-0.8037,11.6094
Gambia,,1/22/20,0,Recovered,13.4432,-15.3101
Georgia,,1/22/20,0,Recovered,42.3154,43.3569
Germany,,1/22/20,0,Recovered,51,9
Ghana,,1/22/20,0,Recovered,7.9465,-1.0232
Grenada,,1/22/20,0,Recovered,12.1165,-61.679
Greece,,1/22/20,0,Recovered,39.0742,21.8243
Guatemala,,1/22/20,0,Recovered,15.7835,-90.2308
Guinea,,1/22/20,0,Recovered,9.9456,-9.6966
Guinea-Bissau,,1/22/20,0,Recovered,11.8037,-15.1804
Guyana,,1/22/20,0,Recovered,5,-58.75
Haiti,,1/22/20,0,Recovered,18.9712,-72.2852
Holy See,,1/22/20,0,Recovered,41.9029,12.4534
Honduras,,1/22/20,0,Recovered,15.2,-86.2419
Hungary,,1/22/20,0,Recovered,47.1625,19.5033
Iceland,,1/22/20,0,Recovered,64.9631,-19.0208
India,,1/22/20,0,Recovered,21,78
Indonesia,,1/22/20,0,Recovered,-0.7893,113.9213
Iran,,1/22/20,0,Recovered,32,53
Iraq,,1/22/20,0,Recovered,33,44
Ireland,,1/22/20,0,Recovered,53.1424,-7.6921
Israel,,1/22/20,0,Recovered,31,35
Italy,,1/22/20,0,Recovered,43,12
Jamaica,,1/22/20,0,Recovered,18.1096,-77.2975
Japan,,1/22/20,0,Recovered,36,138
Jordan,,1/22/20,0,Recovered,31.24,36.51
Kazakhstan,,1/22/20,0,Recovered,48.0196,66.9237
Kenya,,1/22/20,0,Recovered,-0.0236,37.9062
"Korea, South",,1/22/20,0,Recovered,36,128
Kuwait,,1/22/20,0,Recovered,29.5,47.75
Kyrgyzstan,,1/22/20,0,Recovered,41.2044,74.7661
Latvia,,1/22/20,0,Recovered,56.8796,24.6032
Lebanon,,1/22/20,0,Recovered,33.8547,35.8623
Liberia,,1/22/20,0,Recovered,6.4281,-9.4295
Libya,,1/22/20,0,Recovered,26.3351,17.228331
Liechtenstein,,1/22/20,0,Recovered,47.14,9.55
Lithuania,,1/22/20,0,Recovered,55.1694,23.8813
Luxembourg,,1/22/20,0,Recovered,49.8153,6.1296
Madagascar,,1/22/20,0,Recovered,-18.7669,46.8691
Malaysia,,1/22/20,0,Recovered,2.5,112.5
Maldives,,1/22/20,0,Recovered,3.2028,73.2207
Mali,,1/22/20,0,Recovered,17.570692,-3.996166
Malta,,1/22/20,0,Recovered,35.9375,14.3754
Mauritania,,1/22/20,0,Recovered,21.0079,10.9408
Mauritius,,1/22/20,0,Recovered,-20.2,57.5
Mexico,,1/22/20,0,Recovered,23.6345,-102.5528
Moldova,,1/22/20,0,Recovered,47.4116,28.3699
